season,season_order,metric_type,name,flights_per_week,source,updated_at
2024W,4,airport,成田,1803.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,成田,1917.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,羽田,814.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,羽田,803.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,羽田,982,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,羽田,1045.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,羽田,1079,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,羽田,1101.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,関西,1468,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,関西,847,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,関西,1181.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,関西,1320.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,関西,1451,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,関西,1614,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,中部,474,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,中部,175,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,中部,263.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,中部,319,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,中部,339.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,中部,376,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,福岡,316,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,福岡,294,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,福岡,392,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,福岡,431,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,福岡,418,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,福岡,478,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2019W,0,airport,地方空港計,640,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023S,1,airport,地方空港計,242.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2023W,2,airport,地方空港計,413.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024S,3,airport,地方空港計,514.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2024W,4,airport,地方空港計,621,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
2025S,5,airport,地方空港計,700.5,国土交通省 航空局 各期スケジュール 国際定期便の概要(方面別/空港別動向),2026-06-21
