ym,country,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,source,updated_at
2024-01,台湾,宮城県,東北,36190,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,宮城県,東北,1820,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,宮城県,東北,240,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,宮城県,東北,320,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,宮城県,東北,160,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,宮城県,東北,220,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,宮城県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,宮城県,東北,510,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,宮城県,東北,1910,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,宮城県,東北,420,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,宮城県,東北,70,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,宮城県,東北,790,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,宮城県,東北,370,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,宮城県,東北,250,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,宮城県,東北,120,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,宮城県,東北,90,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,スペイン,宮城県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,宮城県,東北,2290,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,総数,秋田県,東北,6060,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,秋田県,東北,550,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,秋田県,東北,750,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,秋田県,東北,430,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
